Irr_area_ha,Precip_mm,WTD_Rnd_Frst_m,WTD_USGS_m,aquifer_state,aquifer_region,aquifer,state,year,month
72710.3515625,81.8807615995116,27.052288083538084,22.10751726572039,HPA_TX,HPA_TX_South,HPA,Texas,1986,8
118923.015625,147.14772333795014,7.516389024715505,3.832460017745845,HPA_KS,HPA_KS,HPA,Kansas,1986,8
999.3064575195312,104.67604166666666,9.960924275716145,2.4972910563151043,HPA_KS,HPA_KS,HPA,Kansas,1986,8
344885.5,70.12661235044865,34.36908623417722,15.377647331443171,HPA_KS,HPA_KS_West,HPA,Kansas,1986,8
953253.125,0.0,40.553394730567476,13.314857700892857,CV_CA,CV_CA_Tulare,CV,California,1986,8
647752.5625,0.0,8.454126582824202,3.5427315526518064,CV_CA,CV_CA_Sacramento,CV,California,1986,8
927129.25,0.0,19.05876032782516,7.448410947712419,CV_CA,CV_CA_SanJoaquin,CV,California,1986,8
240575.5625,2.121944263363755,24.322925429004037,21.886700924869622,SRP_ID,SRP_ID_West,SRP,Idaho,1986,8
,,,,SRP_ID,SRP_ID,SRP,Idaho,1986,8
670547.0,34.02331892917369,27.597364403735632,24.07452615584598,CP_WA,CP_WA,CP,Washigton,1986,9
2119605.5,93.1489539938417,18.10660861929628,17.376569763931656,HPA_NE,HPA_NE,HPA,Nebraska,1986,9
62719.7109375,34.63696618982264,21.800786318663494,17.85321869721284,RG_NM,RG_NM,RG,New Mexico,1986,9
459596.09375,24.878692122632003,47.27235413227404,22.500168467855705,SRP_ID,SRP_ID_East,SRP,Idaho,1986,9
198363.0,12.663757034952607,46.839507472826085,13.69814078656829,BR_AZ,BR_AZ,BR,Arizona,1986,9
99697.1015625,35.95599191890882,6.0731589577414775,2.7785478486430306,RG_CO,RG_CO,RG,Colorado,1986,9
493466.9375,92.08417309891367,63.97469783107204,18.088654826567563,HPA_TX,HPA_TX_North,HPA,Texas,1986,9
34634.6953125,31.91298179703219,43.566433981997974,35.72882608148893,HPA_OK,HPA_OK,HPA,Oklahoma,1986,9
174328.15625,27.690101355909338,37.260467980295566,22.88390447922288,HPA_CO,HPA_CO,HPA,Colorado,1986,9
166122.75,38.09440843986742,25.540158757903697,18.00631991299716,CP_OR,CP_OR,CP,Oregon,1986,9
174377.5,19.570972282373322,13.110725882237432,16.04489734462971,BR_NV,BR_NV,BR,Nevada,1986,9
159808.09375,64.03783540575917,14.662402077656676,26.463328288612566,BR_UT,BR_UT,BR,Utah,1986,9
278661.4375,26.039892626613703,8.602828101120734,7.202315238642006,DBA_CO,DBA_CO,DBA,Colorado,1986,9
72710.3515625,93.55450625763126,27.052288083538084,22.10751726572039,HPA_TX,HPA_TX_South,HPA,Texas,1986,9
118923.015625,80.83369762811634,7.516389024715505,3.832460017745845,HPA_KS,HPA_KS,HPA,Kansas,1986,9
999.3064575195312,80.27552083333333,9.960924275716145,2.4972910563151043,HPA_KS,HPA_KS,HPA,Kansas,1986,9
344885.5,37.14058994890329,34.36908623417722,15.377647331443171,HPA_KS,HPA_KS_West,HPA,Kansas,1986,9
953253.125,4.601714564732143,40.553394730567476,13.314857700892857,CV_CA,CV_CA_Tulare,CV,California,1986,9
647752.5625,27.749900917563412,8.454126582824202,3.5427315526518064,CV_CA,CV_CA_Sacramento,CV,California,1986,9
927129.25,17.226582924836602,19.05876032782516,7.448410947712419,CV_CA,CV_CA_SanJoaquin,CV,California,1986,9
240575.5625,48.47773386571056,24.322925429004037,21.886700924869622,SRP_ID,SRP_ID_West,SRP,Idaho,1986,9
,,,,SRP_ID,SRP_ID,SRP,Idaho,1986,9
670547.0,13.782240285975266,27.597364403735632,24.07452615584598,CP_WA,CP_WA,CP,Washigton,1986,10
2119605.5,74.35363460725713,18.10660861929628,17.376569763931656,HPA_NE,HPA_NE,HPA,Nebraska,1986,10
62719.7109375,41.43196724556588,21.800786318663494,17.85321869721284,RG_NM,RG_NM,RG,New Mexico,1986,10
